	Time	Re
177	41.94	0.1564478509082341
178	42.44	0.1713460694271458
179	42.94	0.1882416801329556
180	43.44	0.20181827472302571
181	43.94	0.2175115490838866
182	44.44	0.23260626657606243
183	44.94	0.25012109854989184
184	45.44	0.26104458812927556
185	45.94	0.27314963162410266
186	46.44	0.27489929569893734
187	46.94	0.27929569801023924
188	47.44	0.27418674679869404
189	47.94	0.257151761510942
190	48.44	0.24351262238051286
191	48.94	0.2207415583646284
192	49.44	0.19843911701839145
193	49.94	0.17381946293725226
194	50.44	0.15430488963916855
195	50.94	0.1319100837953524
196	51.44	0.11495451733720041
197	51.94	0.09908617297230848
198	52.44	0.08440717941005493
199	52.94	0.07087499061447988
200	53.44	0.06379847786048232
201	53.94	0.06221619316054494
202	54.44	0.05473552699650308
203	54.94	0.05545996458879188
204	55.44	0.058034582963954806
205	55.94	0.0603838361476392
206	56.44	0.0639844078706826
207	56.94	0.05917269069061182
208	57.44	0.061324543098788764
209	57.94	0.062790466337316
210	58.44	0.06374108764885378
211	58.94	0.06330468060827021
212	59.44	0.0647760070899821
213	59.94	0.06913720533633594
214	60.44	0.069562492678088
215	60.94	0.07044535611460301
216	61.44	0.07298465769161822
217	61.94	0.07076551512114992
218	62.44	0.065256056630145
219	62.94	0.059964800830629716
220	63.44	0.05024381032662095
221	63.94	0.037088712111669864
222	64.44	0.024728968421467323
223	64.94	0.012847587339996691
224	65.44	0.004214589183331174
225	65.94	-0.001218382116193295
226	66.44	-0.0050660599949727825
227	66.94	-0.0030234413218819256
228	67.44	-0.00143658913301703
229	67.94	0.008163305668474008
230	68.44	0.021694560651033923
231	68.94	0.030057724366187033
232	69.44	0.04756416879967007
233	69.94	0.058440794377589866
234	70.44	0.06896405197147726
235	70.94	0.07404247660985108
236	71.44	0.07972421072727243
237	71.94	0.07588689067565302
238	72.44	0.08200170396263873
239	72.94	0.0784886467089857
240	73.44	0.07795564220978879
241	73.94	0.07288888210666089
242	74.44	0.06872903230763727
243	74.94	0.0611038476553416
244	75.44	0.05471142967471532
245	75.94	0.04618918758208079
246	76.44	0.038899233294723445
247	76.94	0.032759715484821594
248	77.44	0.02837251332582169
249	77.94	0.02324265246353907
250	78.44	0.020782614839226166
251	78.94	0.019832365862376244
252	79.44	0.02495966236023528
253	79.94	0.028708929281182627
254	80.44	0.03478036189698841
255	80.94	0.042745602985578834
256	81.44	0.04360068839654052
257	81.94	0.04681720647355059
258	82.44	0.04524632786544036
259	82.94	0.0394499574247954
260	83.44	0.03654217717341446
261	83.94	0.03440708750332344
262	84.44	0.032848088685682564
263	84.94	0.02843923240636248
264	85.44	0.023383909639174028
265	85.94	0.013080403970414989
266	86.44	-0.004843188693004485
267	86.94	-0.027814283727887523
268	87.44	-0.05053819980371366
269	87.94	-0.07668960720672535
270	88.44	-0.10645432172526936
271	88.94	-0.13350803272864098
272	89.44	-0.16151247179699135
273	89.94	-0.18512764419309768
274	90.44	-0.20182998519203632
275	90.94	-0.2126045471111161
276	91.44	-0.21332967771846234
277	91.94	-0.20909575910098932
278	92.44	-0.19901163084516438
279	92.94	-0.18712662651882062
280	93.44	-0.17449343628589153
281	93.94	-0.16175761026735225
282	94.44	-0.143331138678771
283	94.94	-0.12539856483353928
284	95.44	-0.10516713228231933
285	95.94	-0.08439188661171226
286	96.44	-0.05487204024349879
287	96.94	-0.029799611243854773
288	97.44	-0.010416327918324697
289	97.94	0.011859727818484989
290	98.44	0.03186693799686946
291	98.94	0.04739960533481147
292	99.44	0.06088120089340188
293	99.94	0.07414817444215738
294	100.44	0.08405885638674282
295	100.94	0.08857993731186709
296	101.44	0.0890003246005473
297	101.94	0.0805531006256136
298	102.44	0.07738951470476407
299	102.94	0.07116539663298826
300	103.44	0.06373837831157159
301	103.94	0.045877013928781074
302	104.44	0.034154637363960294
303	104.94	0.024994051073792822
304	105.44	0.015705323748670952
305	105.94	0.01016660383889234
306	106.44	0.007414580816548
307	106.94	0.01667058088507012
308	107.44	0.015899272225002536
309	107.94	0.019380388240070046
310	108.44	0.019913621355973188
311	108.94	0.024171356188288806
312	109.44	0.021502382594954517
313	109.94	0.017070277189427885
314	110.44	0.009303247558499872
315	110.94	0.004543003466047857
316	111.44	-0.0005274441552505227
317	111.94	-0.005684983257644771
318	112.44	-0.001695155827725836
319	112.94	0.0031257564647780844
