	Time	Re
174	87.94	-0.07668960720672535
175	88.44	-0.10645432172526936
176	88.94	-0.13350803272864098
177	89.44	-0.16151247179699135
178	89.94	-0.18512764419309768
179	90.44	-0.20182998519203632
180	90.94	-0.2126045471111161
181	91.44	-0.21332967771846234
182	91.94	-0.20909575910098932
183	92.44	-0.19901163084516438
184	92.94	-0.18712662651882062
185	93.44	-0.17449343628589153
186	93.94	-0.16175761026735225
187	94.44	-0.143331138678771
188	94.94	-0.12539856483353928
189	95.44	-0.10516713228231933
190	95.94	-0.08439188661171226
191	96.44	-0.05487204024349879
192	96.94	-0.029799611243854773
193	97.44	-0.010416327918324697
194	97.94	0.011859727818484989
195	98.44	0.03186693799686946
196	98.94	0.04739960533481147
197	99.44	0.06088120089340188
198	99.94	0.07414817444215738
199	100.44	0.08405885638674282
200	100.94	0.08857993731186709
201	101.44	0.0890003246005473
202	101.94	0.0805531006256136
203	102.44	0.07738951470476407
204	102.94	0.07116539663298826
205	103.44	0.06373837831157159
206	103.94	0.045877013928781074
207	104.44	0.034154637363960294
208	104.94	0.024994051073792822
209	105.44	0.015705323748670952
210	105.94	0.01016660383889234
211	106.44	0.007414580816548
212	106.94	0.01667058088507012
213	107.44	0.015899272225002536
214	107.94	0.019380388240070046
215	108.44	0.019913621355973188
216	108.94	0.024171356188288806
217	109.44	0.021502382594954517
218	109.94	0.017070277189427885
219	110.44	0.009303247558499872
220	110.94	0.004543003466047857
221	111.44	-0.0005274441552505227
222	111.94	-0.005684983257644771
223	112.44	-0.001695155827725836
224	112.94	0.0031257564647780844
